C:\Users\JayphoneLin\anaconda3\envs\pytorch_study\python.exe C:/Users/JayphoneLin/Desktop/GAN-INTRO/GAN-Generate-fake-MNIST.py
Epoch [67/200], Step [200/600], d_loss: 0.7256, g_loss: 2.6213, D(x): 0.68, D(G(z)): 0.11
Epoch [67/200], Step [400/600], d_loss: 0.7808, g_loss: 2.2957, D(x): 0.80, D(G(z)): 0.27
Epoch [67/200], Step [600/600], d_loss: 0.6667, g_loss: 2.6048, D(x): 0.74, D(G(z)): 0.17
Epoch [68/200], Step [200/600], d_loss: 0.6237, g_loss: 2.5327, D(x): 0.82, D(G(z)): 0.22
Epoch [68/200], Step [400/600], d_loss: 0.6898, g_loss: 2.8690, D(x): 0.73, D(G(z)): 0.15
Epoch [68/200], Step [600/600], d_loss: 0.4965, g_loss: 3.6660, D(x): 0.77, D(G(z)): 0.07
Epoch [69/200], Step [200/600], d_loss: 0.5735, g_loss: 2.2533, D(x): 0.78, D(G(z)): 0.14
Epoch [69/200], Step [400/600], d_loss: 0.4849, g_loss: 2.9653, D(x): 0.87, D(G(z)): 0.20
Epoch [69/200], Step [600/600], d_loss: 0.5597, g_loss: 2.5843, D(x): 0.81, D(G(z)): 0.18
Epoch [70/200], Step [200/600], d_loss: 0.6482, g_loss: 2.4681, D(x): 0.80, D(G(z)): 0.21
Epoch [70/200], Step [400/600], d_loss: 0.7929, g_loss: 2.1287, D(x): 0.80, D(G(z)): 0.32
Epoch [70/200], Step [600/600], d_loss: 0.6298, g_loss: 2.3286, D(x): 0.82, D(G(z)): 0.23
Epoch [71/200], Step [200/600], d_loss: 0.5873, g_loss: 2.1989, D(x): 0.83, D(G(z)): 0.22
Epoch [71/200], Step [400/600], d_loss: 0.8966, g_loss: 2.4473, D(x): 0.72, D(G(z)): 0.19
Epoch [71/200], Step [600/600], d_loss: 0.6593, g_loss: 2.6005, D(x): 0.80, D(G(z)): 0.21
Epoch [72/200], Step [200/600], d_loss: 0.6623, g_loss: 3.0251, D(x): 0.76, D(G(z)): 0.17
Epoch [72/200], Step [400/600], d_loss: 0.6157, g_loss: 1.9334, D(x): 0.86, D(G(z)): 0.27
Epoch [72/200], Step [600/600], d_loss: 0.9227, g_loss: 2.7383, D(x): 0.66, D(G(z)): 0.12
Epoch [73/200], Step [200/600], d_loss: 0.6977, g_loss: 2.6675, D(x): 0.80, D(G(z)): 0.26
Epoch [73/200], Step [400/600], d_loss: 0.6712, g_loss: 2.5083, D(x): 0.73, D(G(z)): 0.16
Epoch [73/200], Step [600/600], d_loss: 0.5560, g_loss: 2.2679, D(x): 0.86, D(G(z)): 0.23
Epoch [74/200], Step [200/600], d_loss: 0.7486, g_loss: 2.1048, D(x): 0.73, D(G(z)): 0.21
Epoch [74/200], Step [400/600], d_loss: 0.8342, g_loss: 2.7586, D(x): 0.68, D(G(z)): 0.16
Epoch [74/200], Step [600/600], d_loss: 0.8631, g_loss: 1.9053, D(x): 0.78, D(G(z)): 0.31
Epoch [75/200], Step [200/600], d_loss: 0.8121, g_loss: 2.1288, D(x): 0.70, D(G(z)): 0.20
Epoch [75/200], Step [400/600], d_loss: 0.7835, g_loss: 1.6068, D(x): 0.85, D(G(z)): 0.34
Epoch [75/200], Step [600/600], d_loss: 0.5181, g_loss: 2.4706, D(x): 0.81, D(G(z)): 0.16
Epoch [76/200], Step [200/600], d_loss: 0.6305, g_loss: 2.8324, D(x): 0.80, D(G(z)): 0.20
Epoch [76/200], Step [400/600], d_loss: 0.6458, g_loss: 2.5269, D(x): 0.71, D(G(z)): 0.11
